Symbol,Security,GICS Sector,GICS Sub-Industry,Date Added,Date Removed
BIIB,Biogen,Health Care,Biotechnology,2003-11-13,
BLK,BlackRock,Financials,Asset Management & Custody Banks,2011-04-04,
BK,BNY Mellon,Financials,Asset Management & Custody Banks,1995-03-31,
BA,Boeing,Industrials,Aerospace & Defense,1957-03-04,
BKNG,Booking Holdings,Consumer Discretionary,Internet & Direct Marketing Retail,2009-11-06,
BWA,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment,2011-12-19,
BXP,Boston Properties,Real Estate,Office REITs,2006-04-03,
BSX,Boston Scientific,Health Care,Health Care Equipment,1995-02-24,
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,1957-03-04,
AVGO,Broadcom Inc.,Information Technology,Semiconductors,2014-05-08,
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,2018-06-18,
BRO,Brown & Brown,Financials,Insurance Brokers,2021-09-20,
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,1982-10-31,
BG,Bunge Limited,Consumer Staples,Agricultural Products & Services,2023-03-15,
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,2007-03-02,
CDNS,Cadence Design Systems,Information Technology,Application Software,2017-09-18,
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,2021-03-22,
CPT,Camden Property Trust,Real Estate,Residential REITs,2022-04-04,
CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats,1957-03-04,
COF,Capital One,Financials,Consumer Finance,1998-07-01,
CAH,Cardinal Health,Health Care,Health Care Distributors,1997-05-27,
KMX,CarMax,Consumer Discretionary,Automotive Retail,2010-06-28,
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1998-12-22,
CARR,Carrier Global,Industrials,Building Products,2020-04-03,
CTLT,Catalent,Health Care,Pharmaceuticals,2020-09-21,
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,1957-03-04,
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2017-03-01,
CBRE,CBRE Group,Real Estate,Real Estate Services,2006-11-10,
CDW,CDW,Information Technology,Technology Distributors,2019-09-23,
CE,Celanese,Materials,Specialty Chemicals,2018-12-24,
CNC,Centene Corporation,Health Care,Managed Health Care,2016-03-30,
CNP,CenterPoint Energy,Utilities,Multi-Utilities,1985-07-31,
CDAY,Ceridian,Information Technology,Application Software,2021-09-20,
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2008-08-27,
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,2021-05-14,
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,1997-06-02,
CHTR,Charter Communications,Communication Services,Cable & Satellite,2016-09-08,
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,1957-03-04,
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,2011-04-28,
